"filename", "language", "JSON", "TypeScript", "JSON with Comments", "YAML", "PostCSS", "Markdown", "JavaScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\react\polity\src\features\search\hooks\useSearchFilters.ts", "TypeScript", 0, 210, 0, 0, 0, 0, 0, 0, 0, 7, 33, 250
"c:\react\polity\src\features\search\hooks\useSearchURL.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 0, 0, 0, 4, 13, 110
"c:\react\polity\src\features\search\types\search.types.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\react\polity\src\features\search\ui\AmendmentSearchCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 91, 0, 4, 11, 106
"c:\react\polity\src\features\search\ui\BlogSearchCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 4, 32
"c:\react\polity\src\features\search\ui\GroupSearchCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 3, 6, 36
"c:\react\polity\src\features\search\ui\SearchHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 88, 0, 3, 7, 98
"c:\react\polity\src\features\search\ui\StatementSearchCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\react\polity\src\features\search\ui\UserSearchCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 7, 10, 70
"c:\react\polity\src\features\search\utils\searchUtils.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 2, 6, 41
"c:\react\polity\src\features\statements\hooks\useStatementData.ts", "TypeScript", 0, 127, 0, 0, 0, 0, 0, 0, 0, 17, 13, 157
"c:\react\polity\src\features\statements\ui\StatementDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 9, 16, 178
"c:\react\polity\src\features\timeline\README.md", "Markdown", 0, 0, 0, 0, 0, 269, 0, 0, 0, 0, 85, 354
"c:\react\polity\src\features\timeline\constants\content-type-config.ts", "TypeScript", 0, 152, 0, 0, 0, 0, 0, 0, 0, 10, 7, 169
"c:\react\polity\src\features\timeline\constants\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\react\polity\src\features\timeline\hooks\useDecisionFlash.ts", "TypeScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 24, 26, 157
"c:\react\polity\src\features\timeline\hooks\useDecisionTerminal.ts", "TypeScript", 0, 260, 0, 0, 0, 0, 0, 0, 0, 19, 35, 314
"c:\react\polity\src\features\timeline\hooks\useInfiniteTimeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 146, 0, 33, 25, 204
"c:\react\polity\src\features\timeline\hooks\useIsMobile.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 25, 20, 116
"c:\react\polity\src\features\timeline\hooks\useReactions.ts", "TypeScript", 0, 116, 0, 0, 0, 0, 0, 0, 0, 37, 21, 174
"c:\react\polity\src\features\timeline\hooks\useSubscribedTimeline.ts", "TypeScript", 0, 292, 0, 0, 0, 0, 0, 0, 0, 22, 25, 339
"c:\react\polity\src\features\timeline\hooks\useSubscriptionTimeline.ts", "TypeScript", 0, 166, 0, 0, 0, 0, 0, 0, 0, 8, 21, 195
"c:\react\polity\src\features\timeline\hooks\useSwipeGestures.ts", "TypeScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 52, 32, 262
"c:\react\polity\src\features\timeline\hooks\useTerminalSubscription.ts", "TypeScript", 0, 118, 0, 0, 0, 0, 0, 0, 0, 40, 26, 184
"c:\react\polity\src\features\timeline\hooks\useTimelineFilters.ts", "TypeScript", 0, 144, 0, 0, 0, 0, 0, 0, 0, 104, 32, 280
